Albion Park High School,120 Church Street Albion Park NSW 2527,2527,Illawarra,02 4257 1744,albionpk-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Albion%20Park%20High%20School%2C%20120%20Church%20Street%20Albion%20Park%20NSW%202527,https://albionpk-h.schools.nsw.gov.au/
Albion Park Public School,Corner of Hamilton and Tongarra Road Albion Park NSW 2527,2527,Illawarra,02 4256 1244,albionpk-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Albion%20Park%20Public%20School%2C%20Corner%20of%20Hamilton%20and%20Tongarra%20Road%20Albion%20Park%20NSW%202527,https://albionpk-p.schools.nsw.gov.au/
Albion Park Rail Public School,Gow Avenue Albion Park Rail NSW 2527,2527,Illawarra,02 4256 1287,albionpkr-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Albion%20Park%20Rail%20Public%20School%2C%20Gow%20Avenue%20Albion%20Park%20Rail%20NSW%202527,https://albionpkr-p.schools.nsw.gov.au/
Albury High School,625 Kiewa Street Albury NSW 2640,2640,Albury,02 6021 3488,albury-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Albury%20High%20School%2C%20625%20Kiewa%20Street%20Albury%20NSW%202640,https://albury-h.schools.nsw.gov.au/
Albury North Public School,868 Mate Street Albury NSW 2640,2640,Albury,02 6025 1730,alburynth-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Albury%20North%20Public%20School%2C%20868%20Mate%20Street%20Albury%20NSW%202640,https://alburynth-p.schools.nsw.gov.au/
Albury Public School,"481 David Street Albury NSW, 2640",2640,Albury,02 6021 3849,albury-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Albury%20Public%20School%2C%20481%20David%20Street%20Albury%20NSW%2C%202640,https://albury-p.schools.nsw.gov.au/
Albury West Public School,Mott Street Albury NSW 2640,2640,Albury,02 6021 2288,alburywest-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Albury%20West%20Public%20School%2C%20Mott%20Street%20%20Albury%20NSW%202640,https://alburywest-p.schools.nsw.gov.au/
Aldavilla Public School,15 Sherwood Road Aldavilla NSW 2440,2440,Mid North Coast,02 6563 1141,aldavilla-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Aldavilla%20Primary%20School%2C%2015%20Sherwood%20Road%20Aldavilla%20NSW%202440,https://aldavilla-p.schools.nsw.gov.au/
Alexandria Park Community School,Buckland Street Alexandria NSW 2015,2015,Central and Northern Sydney,02 9698 1967,alexparkcs-c.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Alexandria%20Park%20Community%20School%2C%20Buckland%20Street%20Alexandria%20NSW%202015,https://alexparkcs-c.schools.nsw.gov.au/
Alfords Point Public School,2C Brushwood Drive Alfords Point NSW 2234,2234,Southern and Southwest Sydney,02 9543 0185,alfordspt-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Alfords%20Point%20Public%20School%2C%202C%20Brushwood%20Drive%20%20Alfords%20Point%20NSW%202234,https://alfordspt-p.schools.nsw.gov.au/
"Allambie Heights, New South Wales",165 Allambie Road Allambie Heights NSW 2100,2100,Central and Northern Sydney,02 9451 5440,allambieht-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Allambie%20Heights%20Public%20School%2C%20165%20Allambie%20Road%20Allambie%20Heights%20NSW%202100,https://allambieht-p.schools.nsw.gov.au/
Alma Public School,Comstock Street Broken Hill NSW 2880,2880,Broken Hill and Far West,08 8088 2181,alma-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Alma%20Public%20School%2C%20Comstock%20Street%20Broken%20Hill%20NSW%202880,https://alma-p.schools.nsw.gov.au/
Alstonville High School,21 Cawley Close Alstonville NSW 2477,2477,Richmond - Tweed,02 6628 5222,alstonvill-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Alstonville%20High%20School%2C%2021%20Cawley%20Close%20%20Alstonville%20NSW%202477,https://alstonvill-h.schools.nsw.gov.au/
Alstonville Public School,58 Main Street Alstonville NSW 2477,2477,Richmond - Tweed,02 6628 0775,alstonvill-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Alstonville%20Public%20School%2C%2058%20Main%20Street%20Alstonville%20NSW%202477,https://alstonvill-p.schools.nsw.gov.au/
Ambarvale High School,Thomas Rose Drive Rosemeadow NSW 2560,2560,Illawarra,02 4627 1800,ambarvale-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ambarvale%20High%20School%2C%20Thomas%20Rose%20Drive%20Rosemeadow%20NSW%202560,https://ambarvale-h.schools.nsw.gov.au/
Ambarvale Public School,Copperfield Drive Ambarvale NSW 2560,2560,Illawarra,02 4626 1485,ambarvale-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ambarvale%20Public%20School%2C%20Copperfield%20Drive%20Ambarvale%20NSW%202560,https://ambarvale-p.schools.nsw.gov.au/
Anna Bay Public School,191 Gan Gan Road Anna Bay NSW 2316,2316,Hunter Valley excl Newcastle,02 4982 1187,annabay-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Anna%20Bay%20Public%20School%2C%20191%20Gan%20Gan%20Road%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Anna%20Bay%20NSW%202316,https://annabay-p.schools.nsw.gov.au/
Annandale North Public School,206 Johnston Street Annandale NSW 2038,2038,Western Sydney and Blue Mountains,02 9660 3972,annandalen-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Annandale%20North%20Public%20School%2C%20206%20Johnston%20Street%20Annandale%20NSW%202038,https://annandalen-p.schools.nsw.gov.au/
Annandale Public School,25 Johnston Street Annandale NSW 2038,2038,Western Sydney and Blue Mountains,02 9516 3711,annandale-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Annandale%20Public%20School%2C%2025%20Johnston%20Street%20Annandale%20NSW%202038,https://annandale-p.schools.nsw.gov.au/
Annangrove Public School,185 Annangrove Road Annangrove NSW 2156,2156,Western Sydney and Blue Mountains,02 9679 1303,annangrove-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Annangrove%20Public%20School%2C%20185%20Annangrove%20Road%20Annangrove%20NSW%202156,https://annangrove-p.schools.nsw.gov.au/
Anson Street School,94 Anson Street Orange NSW 2800,2800,Central West,02 6362 4563,ansonst-s.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Anson%20Street%20School%2C%2094%20Anson%20Street%20Orange%20NSW%202800,https://ansonst-s.schools.nsw.gov.au/
Anzac Park Public School,2 Anzac Avenue Cammeray NSW 2062,2062,Central and Northern Sydney,02 9922 3288,anzacpark-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Anzac%20Park%20Public%20School%2C%202%20Anzac%20Avenue%20Cammeray%20NSW%202062,https://anzacpark-p.schools.nsw.gov.au/
Appin Public School,97 Appin Road Appin NSW 2560,2560,Illawarra,02 4631 1220,appin-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Appin%20Public%20School%2C%2097%20Appin%20Road%20Appin%20NSW%202560,https://appin-p.schools.nsw.gov.au/
Arcadia Public School,140 Arcadia Road Arcadia NSW 2159,2159,Central and Northern Sydney,02 9653 1207,arcadia-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Arcadia%20Public%20School%2C%20140%20Arcadia%20Road%20%20Arcadia%20NSW%202159,https://arcadia-p.schools.nsw.gov.au/
Arcadia Vale Public School,Glade Street Arcadia Vale NSW 2283,2283,Newcastle and Lake Macquarie,02 4975 1181,arcadiaval-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Arcadia%20Vale%20Public%20School%2C%20Glade%20Street%20Arcadia%20Vale%20NSW%202283,https://arcadiaval-p.schools.nsw.gov.au/
Ardlethan Central School,Mithul Street Ardlethan NSW 2665,2665,Riverina,02 6978 2046,ardlethan-c.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ardlethan%20Central%20School%2C%20Mithul%20Street%20Ardlethan%20NSW%202665,https://ardlethan-c.schools.nsw.gov.au/
Argenton Public School,"Montgomery Street Argenton NSW, 2284",2284,Newcastle and Lake Macquarie,02 4958 1805,argenton-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Argenton%20Public%20School%2C%20Montgomery%20Street%20Argenton%20NSW%2C%202284,https://argenton-p.schools.nsw.gov.au/
Ariah Park Central School,1 Harrison Street Ariah Park NSW 2665,2665,Riverina,02 6974 1105,ariahpark-c.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ariah%20Park%20Central%20School%2C%201%20Harrison%20Street%20Ariah%20Park%20NSW%202665,https://ariahpark-c.schools.nsw.gov.au/
Armidale City Public School,142-152 Faulkner Street Armidale NSW 2350,2350,Armidale,02 6772 3420,armidalec-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Armidale%20City%20Public%20School%2C%20142-152%20Faulkner%20Street%20Armidale%20NSW%202350,https://armidalec-p.schools.nsw.gov.au/
Armidale High School,56-72 Crest Road Armidale NSW 2350,2350,Armidale,02 6772 1266,armidale-s.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Armidale%20Secondary%20College%2C%2056-72%20Crest%20Road%20Armidale%20NSW%202350,https://armidale-s.schools.nsw.gov.au/
Arncliffe Public School,168 Princes Highway Arncliffe NSW 2205,2205,Southern and Southwest Sydney,02 9567 5060,arncliffe-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Arncliffe%20Public%20School%2C%20168%20Princes%20Highway%20Arncliffe%20NSW%202205,https://arncliffe-p.schools.nsw.gov.au/
Arncliffe West Infants School,7 Loftus Street Arncliffe NSW 2205,2205,Southern and Southwest Sydney,02 9567 7062,arncliffew-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Arncliffe%20West%20Infants%20School%2C%207%20Loftus%20Street%20Arncliffe%20NSW%202205,https://arncliffew-p.schools.nsw.gov.au/
Arndell School,70 Badajoz Road North Ryde NSW 2113,2113,Central and Northern Sydney,02 9888 3737,Arndell-s.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Arndell%20School%2C%2070%20Badajoz%20Road%20North%20Ryde%20NSW%202113,https://arndell-s.schools.nsw.gov.au/
Arranounbai School,5 Aquatic Drive Frenchs Forest 2086,2086,Central and Northern Sydney,02 9452 3168,arranoun-s.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Arranounbai%20School%2C%205%20Aquatic%20Drive%20%20Frenchs%20Forest%202086,https://arranoun-s.schools.nsw.gov.au/
Artarmon Public School,McMillan Road Artarmon NSW 2064,2064,Central and Northern Sydney,02 9411 1950,artarmon-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Artarmon%20Public%20School%2C%20McMillan%20Road%20Artarmon%20NSW%202064,https://artarmon-p.schools.nsw.gov.au/
Arthur Phillip High School,102-116 Macquarie Street Parramatta NSW 2150,2150,Western Sydney and Blue Mountains,02 8855 8100,arthurphil-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Arthur%20Phillip%20High%20School%2C%20102%20-%20116%20Macquarie%20Street%20Parramatta%20NSW%202150,https://arthurphil-h.schools.nsw.gov.au/
Ashbury Public School,"Trevenar Street Ashbury NSW, 2193",2193,Southern and Southwest Sydney,02 9798 4509,ashbury-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ashbury%20Public%20School%2C%20Trevenar%20Street%20Ashbury%20NSW%2C%202193,https://ashbury-p.schools.nsw.gov.au/
Ashcroft High School,Maxwells Avenue Ashcroft 2168,2168,Southern and Southwest Sydney,02 9607 8011,ashcroft-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ashcroft%20High%20School%2C%20Maxwells%20Avenue%20Ashcroft%202168,https://ashcroft-h.schools.nsw.gov.au/
Ashcroft Public School,Sheriff Street Ashcroft NSW 2168,2168,Southern and Southwest Sydney,02 9607 8202,ashcroft-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ashcroft%20Public%20School%2C%20Sheriff%20Street%20Ashcroft%20NSW%202168,https://ashcroft-p.schools.nsw.gov.au/
Ashfield Boys High School,117 Liverpool Road Ashfield NSW 2131,2131,Southern and Southwest Sydney,02 9798 6620,ashfieldbo-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ashfield%20Boys%20High%20School%2C%20117%20Liverpool%20Road%20Ashfield%20NSW%202131,https://ashfieldbo-h.schools.nsw.gov.au/
Ashfield Public School,"Liverpool Road Ashfield NSW, 2131",2131,Southern and Southwest Sydney,02 9798 4400,ashfield-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ashfield%20Public%20School%2C%20Liverpool%20Road%20Ashfield%20NSW%2C%202131,https://ashfield-p.schools.nsw.gov.au/
Ashford Central School,51 Martyn Street Ashford NSW 2361,2361,Inverell - Tenterfield,02 6725 4101,ashford-c.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ashford%20Central%20School%2C%2051%20Martyn%20Street%20Ashford%20NSW%202361,https://ashford-c.schools.nsw.gov.au/
Ashmont Public School,Bardia Street Wagga Wagga NSW 2650,2650,Albury,02 6931 4944,ashmont-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ashmont%20Public%20School%2C%20Bardia%20Street%20Wagga%20Wagga%20NSW%202650,https://ashmont-p.schools.nsw.gov.au/
Asquith Boys High School,Jersey Street Asquith NSW 2077,2077,Central and Northern Sydney,02 9477 3508,asquithboy-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Asquith%20Boys%20High%20School%2C%20Jersey%20Street%20Asquith%20NSW%202077,https://asquithboy-h.schools.nsw.gov.au/
Asquith Girls High School,Stokes Avenue Asquith NSW 2077,2077,Central and Northern Sydney,02 9477 6411,asquithgir-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Asquith%20Girls%20High%20School%2C%20Stokes%20Avenue%20Asquith%20NSW%202077,https://asquithgir-h.schools.nsw.gov.au/
Asquith Public School,Dudley Street Asquith NSW 2077,2077,Central and Northern Sydney,02 9477 1258,asquith-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Asquith%20Public%20School%2C%20Dudley%20Street%20Asquith%20NSW%202077,https://asquith-p.schools.nsw.gov.au/
Athelstane Public School,Athelstane Avenue Arncliffe 2205,2205,Southern and Southwest Sydney,02 9567 3550,athelstane-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Athelstane%20Public%20School%2C%20Athelstane%20Avenue%20Arncliffe%202205,https://athelstane-p.schools.nsw.gov.au/
Attunga Public School,1-1A Attunga Street Attunga NSW 2345,2345,Tamworth - Gunnedah,02 6769 5554,attunga-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Attunga%20Public%20School%2C%201-1A%20Attunga%20Street%20Attunga%20NSW%202345,https://attunga-p.schools.nsw.gov.au/
Auburn Girls High School,Hunter Street Auburn NSW 2144,2144,Western Sydney and Blue Mountains,02 9649 6949,auburng-h.school @det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Auburn%20Girls%20High%20School%2C%20Hunter%20Street%20Auburn%20NSW%202144,https://auburng-h.schools.nsw.gov.au/
Auburn North Public School,100 Adderley Street Auburn NSW 2144,2144,Western Sydney and Blue Mountains,02 9748 1036,auburnnth-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Auburn%20North%20Public%20School%2C%20100%20Adderley%20Street%20Auburn%20NSW%202144,https://auburnnth-p.schools.nsw.gov.au/
Auburn Public School,Auburn Road & Beatrice Street Auburn NSW 2144,2144,Western Sydney and Blue Mountains,02 9646 2200,auburn-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Auburn%20Public%20School%2C%20Auburn%20Road%20&%20Beatrice%20Street%20Auburn%20NSW%202144,https://auburn-p.schools.nsw.gov.au/
Auburn West Public School,Chiswick Road Auburn NSW 2144,2144,Western Sydney and Blue Mountains,02 9649 6774,auburnwest-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Auburn%20West%20Public%20School%2C%20Chiswick%20Road%20Auburn%20NSW%202144,https://auburnwest-p.schools.nsw.gov.au/
Austinmer Public School,90 Lawrence Hargrave Drive Austinmer NSW 2515,2515,Illawarra,02 4267 1311,austinmer-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Austinmer%20Public%20School%2C%2090%20Lawrence%20Hargrave%20Drive%20Austinmer%20NSW%202515,https://austinmer-p.schools.nsw.gov.au/
Austral Public School],219 Edmondson Avenue Austral NSW 2179,2179,Southern and Southwest Sydney,02 9606 0312,austral-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Austral%20Public%20School%2C%20219%20Edmondson%20Avenue%20Austral%20NSW%202179,https://austral-p.schools.nsw.gov.au/
Australia Street Infants School,229 Australia Street Newtown NSW 2042,2042,Central and Northern Sydney,02 9557 5377,australist-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Australia%20Street%20Infants%20School%2C%20229%20Australia%20Street%20Newtown%20NSW%202042,https://australist-p.schools.nsw.gov.au/
Avalon Public School,Old Barrenjoey Road Avalon Beach NSW 2107,2107,Central and Northern Sydney,02 9973 1439,avalon-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Avalon%20Public%20School%2C%20Old%20Barrenjoey%20Road%20Avalon%20Beach%20NSW%202107,https://avalon-p.schools.nsw.gov.au/
Avoca Beach Public School,91A The Round Drive Avoca Beach NSW 2251,2251,Central Coast,02 4382 1416,avocabch-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Avoca%20Beach%20Public%20School%2C%2091A%20The%20Round%20Drive%20Avoca%20Beach%20NSW%202251,https://avocabch-p.schools.nsw.gov.au/
Avoca Public School,"961 Sheepwash Road Avoca via Moss Vale, NSW 2577",2577,Southern Highlands and Shoalhaven,02 4887 7224,avoca-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Avoca%20Public%20School%2C%20961%20Sheepwash%20Road%20Avoca%20via%20Moss%20Vale%2C%20NSW%202577,https://avoca-p.schools.nsw.gov.au/
Awaba Public School,Mulbring Street Awaba NSW 2283,2283,Newcastle and Lake Macquarie,02 4959 2502,awaba-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Awaba%20Public%20School%2C%20Mulbring%20Street%20Awaba%20NSW%202283,https://awaba-p.schools.nsw.gov.au/
Balarang Public School,Government Road Oak Flats NSW 2529,2529,Illawarra,02 4256 1846,balarang-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Balarang%20Public%20School%2C%20Government%20Road%20Oak%20Flats%20NSW%202529,https://balarang-p.schools.nsw.gov.au/
Bald Blair Public School,Guyra-Ebor Road Guyra NSW 2365,2365,Inverell - Tenterfield,02 6779 1578,baldblair-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Bald%20Blair%20Public%20School%2C%20Guyra-Ebor%20Road%20Guyra%20NSW%202365,https://baldblair-p.schools.nsw.gov.au/
Bald Face Public School,84 Stuart Street Blakehurst NSW 2221,2221,Southern and Southwest Sydney,02 9546 1565,baldface-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Bald%20Face%20Public%20School%2C%2084%20Stuart%20Street%20Blakehurst%20NSW%202221,https://baldface-p.schools.nsw.gov.au/
Balgowlah Boys Campus – Northern Beaches Secondary College,27 Maretimo Street Balgowlah NSW 2093,2093,Central and Northern Sydney,02 9949 4200,nbscbalgb-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=NBSC%20Balgowlah%20Boys%20Campus%2C%2027%20Maretimo%20Street%20Balgowlah%20NSW%202093,https://nbscbalgb-h.schools.nsw.gov.au/
Balgowlah Heights Public School,9B Lewis Street Balgowlah Heights NSW 2093,2093,Central and Northern Sydney,02 9948 2225,balgowlaht-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Balgowlah%20Heights%20Public%20School%2C%209B%20Lewis%20Street%20Balgowlah%20Heights%20NSW%202093,https://balgowlaht-p.schools.nsw.gov.au/
Balgowlah North Public School,"10 Manning Street North Balgowlah NSW, 2093",2093,Central and Northern Sydney,02 9949 4499,balgowlahn-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Balgowlah%20North%20Public%20School%2C%2010%20Manning%20Street%20North%20Balgowlah%20NSW%2C%202093,https://balgowlahn-p.schools.nsw.gov.au/
Balgownie Public School,Balgownie Road Balgownie NSW 2519,2519,Illawarra,02 4284 4245,balgownie-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Balgownie%20Public%20School%2C%20Balgownie%20Road%20Balgownie%20NSW%202519,https://balgownie-p.schools.nsw.gov.au/
Ballimore Public School,Bomen Street Ballimore NSW 2830,2830,Dubbo,02 6886 5151,ballimore-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ballimore%20Public%20School%2C%20Bomen%20Street%20Ballimore%20NSW%202830,https://ballimore-p.schools.nsw.gov.au/
Ballina High School,57 Cherry Street Ballina NSW 2478,2478,Richmond - Tweed,02 66810100,ballinacoast-h.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ballina%20Coast%20High%20School%2C%2057%20Cherry%20Street%20Ballina%20NSW%202478,https://ballina-h.schools.nsw.gov.au/
Ballina Public School,48 Crane Street Ballina NSW 2478,2478,Richmond - Tweed,02 6686 2205,ballina-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Ballina%20Public%20School%2C%2048%20Crane%20Street%20Ballina%20NSW%202478,https://ballina-p.schools.nsw.gov.au/
Balmain Public School,1 Eaton Street Balmain NSW 2041,2041,Western Sydney and Blue Mountains,02 9818 1177,balmain-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Balmain%20Public%20School%2C%201%20Eaton%20Street%20Balmain%20NSW%202041,https://balmain-p.schools.nsw.gov.au/
Balranald Central School,53-55 We Street Balranald NSW 2715,2715,Lower Murray,03 5020 2222,balranald-c.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Balranald%20Central%20School%2C%2053-55%20We%20Street%20Balranald%20NSW%202715,https://balranald-c.schools.nsw.gov.au/
Bangalow Public School,Byron Street Bangalow NSW 2479,2479,Richmond - Tweed,02 6687 1434,bangalow-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Bangalow%20Public%20School%2C%20Byron%20Street%20Bangalow%20NSW%202479,https://bangalow-p.schools.nsw.gov.au/
Bangor Primary School,130 Menai Road Bangor NSW 2234,2234,Southern and Southwest Sydney,02 9543 2244,bangor-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Bangor%20Public%20School%2C%20130%20Menai%20Road%20Bangor%20NSW%202234,https://bangor-p.schools.nsw.gov.au/
Banks Public School,182-194 Banks Drive St Clair NSW 2759,2759,Western Sydney and Blue Mountains,02 9670 6506,banks-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Banks%20Public%20School%2C%20182-194%20Banks%20Drive%20St%20Clair%20NSW%202759,https://banks-p.schools.nsw.gov.au/
Banksia Road Public School,65 Banksia Road Greenacre NSW 2190,2190,Southern and Southwest Sydney,02 9707 3423,banksiard-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Banksia%20Road%20Primary%20School%2C%2065%20Banksia%20Road%20Greenacre%20NSW%202190,https://banksiard-p.schools.nsw.gov.au/
Banksmeadow Public School,Corner Wiggins and Trevelyan Streets Botany NSW 2019,2019,Central and Northern Sydney,02 9316 9608,banksmeado-p.school@det.nsw.edu.au,https://www.google.com/maps/dir/?api=1&destination=Banksmeadow%20Public%20School%2C%20Corner%20Wiggins%20and%20Trevelyan%20Streets%20Botany%20NSW%202019,https://banksmeado-p.schools.nsw.gov.au/
